name,database,iterations,times,min,max,mean,median,std_dev,total
concurrent_1_small,scylla,3,"[0.06365036964416504, 0.060379743576049805, 0.06359529495239258]",0.060379743576049805,0.06365036964416504,0.06254180272420247,0.06359529495239258,0.0015289720131516343,0.18762540817260742
concurrent_1_small,duckdb,3,"[0.7039330005645752, 0.7519657611846924, 0.7272751331329346]",0.7039330005645752,0.7519657611846924,0.7277246316274008,0.7272751331329346,0.01961186817329013,2.183173894882202
